hl_player_id,espn_athlete_id,note
57121183,163064,D. Zalazar (Banfield) = David Salazar — spelling
82276950,400805,Facundo Guch (Newell's) = Facundo Gauch — spelling
38190320,297052,Kevin Lomónaco — moved Independiente → Elche within the data window
831075,195651,M. Vicentini (Belgrano) = Manuel Vincentini — spelling
66240867,360186,José Guilherme (Bahia) = Zé Guilherme — nickname
42574511,303931,B. Thomas (Coventry) = Bobby Thomas
3112123,203072,D. James (Leeds) = Daniel James
3101014,206172,J. Dasilva (Coventry) = Jay Da Silva — spacing
62608385,387489,José María Andrés Baixauli (Brighton) = Chema Andrés — nickname
42429772,342029,Y. Yarmolyuk (Brentford) = Yehor Yarmoliuk — transliteration
71430702,377843,Rayane Belid (Rayo) = Rayane Belaid — spelling
53291798,371689,Chuky San José (Werder) = Chuki — nickname
45066147,399219,L. Đurić (Paderborn) = Luka Djuric — transliteration
94956183,3123406,Paco Esteban (Lecce) = Francisco Esteban Sánchez — nickname
