window_id,player_name,club_at_call,pos_group,status,player_key
2026-wc,Emiliano Martínez,Aston Villa,GK,called,
2026-wc,Gerónimo Rulli,Marseille,GK,called,
2026-wc,Juan Musso,Atlético Madrid,GK,called,
2026-wc,Gonzalo Montiel,River Plate,DEF,called,
2026-wc,Nahuel Molina,Atlético Madrid,DEF,called,
2026-wc,Lisandro Martínez,Manchester United,DEF,called,
2026-wc,Nicolás Otamendi,Benfica,DEF,called,
2026-wc,Leonardo Balerdi,Marseille,DEF,called,
2026-wc,Cristian Romero,Tottenham Hotspur,DEF,called,
2026-wc,Facundo Medina,Marseille,DEF,called,
2026-wc,Nicolás Tagliafico,Lyon,DEF,called,
2026-wc,Leandro Paredes,Boca Juniors,MID,called,
2026-wc,Rodrigo De Paul,Inter Miami,MID,called,
2026-wc,Exequiel Palacios,Bayer Leverkusen,MID,called,
2026-wc,Enzo Fernández,Chelsea,MID,called,
2026-wc,Alexis Mac Allister,Liverpool,MID,called,
2026-wc,Giovani Lo Celso,Real Betis,MID,called,
2026-wc,Valentín Barco,Strasbourg,MID,called,
2026-wc,Lionel Messi,Inter Miami,FWD,called,
2026-wc,Nico Paz,Como,FWD,called,
2026-wc,Thiago Almada,Atlético Madrid,FWD,called,
2026-wc,Nicolás González,Atlético Madrid,FWD,called,Q43381082
2026-wc,Giuliano Simeone,Atlético Madrid,FWD,called,
2026-wc,Lautaro Martínez,Inter,FWD,called,
2026-wc,José Manuel López,Palmeiras,FWD,called,
2026-wc,Julián Álvarez,Atlético Madrid,FWD,called,
